prs,signature,effect,sem,z_score,p_value,category,p_value_fdr,significant_fdr,abs_z_score
AAM,Sig 0,-0.0014961743727326393,0.00204825634136796,-0.7304624633718433,0.4651075493579975,Other,0.6933280238876981,False,0.7304624633718433
AAM,Sig 1,-0.007461403496563435,0.002182394964620471,-3.418906118059619,0.0006287341527091428,Other,0.0059564288151392475,True,3.418906118059619
AAM,Sig 2,-0.0061030033975839615,0.002941431477665901,-2.074841261448268,0.03800124906484048,Other,0.14951311107478224,False,2.074841261448268
AAM,Sig 3,0.00021423430007416755,0.0023419244680553675,0.09147788624116406,0.9271128767755132,Other,0.9802074468111154,False,0.09147788624116406
AAM,Sig 4,-0.0007712665828876197,0.000991019536741078,-0.778255679422723,0.43641829807146015,Other,0.6772008073522657,False,0.778255679422723
AAM,Sig 5,-0.006155630107969046,0.0028597014024853706,-2.1525429552257376,0.03135461590101207,Other,0.13358179555460764,False,2.1525429552257376
AAM,Sig 6,0.004307036753743887,0.0016296404646709561,2.642936799322499,0.008219037534853424,Other,0.050578692522174916,False,2.642936799322499
AAM,Sig 7,-0.009650548920035362,0.0019428031519055367,-4.9673323365622135,6.788020212589174e-07,Other,1.0624727289270012e-05,True,4.9673323365622135
AAM,Sig 8,0.011890364810824394,0.0015072626993060112,7.888714300631916,3.1086244689504383e-15,Other,8.952838470577262e-14,True,7.888714300631916
AAM,Sig 9,-0.004491972737014294,0.0021065501496195793,-2.1323834791331677,0.03297533441160305,Other,0.13675387755472218,False,2.1323834791331677
AAM,Sig 10,-0.004201206378638744,0.0021787097211927176,-1.9283001942722442,0.05381779767606454,Other,0.18573382033122313,False,1.9283001942722442
AAM,Sig 11,-0.0020229623187333345,0.0012049871729686856,-1.6788247743330176,0.09318619879111889,Other,0.26730702442073945,False,1.6788247743330176
AAM,Sig 12,-0.0012303221737965941,0.0008786691469140351,-1.4002109646362297,0.16145015339574442,Other,0.3894455234188553,False,1.4002109646362297
AAM,Sig 13,-9.772278281161562e-05,0.0020344238728284836,-0.04803462253701854,0.9616886496491,Other,0.9835452098683977,False,0.04803462253701854
AAM,Sig 14,-0.0053020562045276165,0.0017911710310727358,-2.9601060493660425,0.003075331602079512,Other,0.02236604801512372,True,2.9601060493660425
AAM,Sig 15,-0.0037619699724018574,0.0017623341409489512,-2.134651928365966,0.03278945238024766,Other,0.13675387755472218,False,2.134651928365966
AAM,Sig 16,-0.001553370151668787,0.002630912233144045,-0.5904302439661576,0.5549022392100684,Other,0.7539960996784841,False,0.5904302439661576
AAM,Sig 17,0.0021879554260522127,0.0027278645429760218,0.8020762730634771,0.42250883900899683,Other,0.6701493816403595,False,0.8020762730634771
AAM,Sig 18,-0.002062878105789423,0.0014826401602476835,-1.3913545316651934,0.16411794519990552,Other,0.3912745713375231,False,1.3913545316651934
AAM,Sig 19,-0.0013064194936305285,0.0019452201668173075,-0.6716049503887472,0.5018352259299048,Other,0.7257163818404114,False,0.6716049503887472
AAM,Sig 20,0.0,0.0,,,Other,,False,
AMD,Sig 0,0.0022270423360168934,0.0015974853886291385,1.3940924604812825,0.16328968564315005,Other,0.3912745713375231,False,1.3940924604812825
AMD,Sig 1,-0.002609072718769312,0.0026634761597961187,-0.9795742714547251,0.3272963101841668,Other,0.599626827818321,False,0.9795742714547251
AMD,Sig 2,-0.004236314911395311,0.0028781050350517035,-1.4719111567515146,0.14104487041935876,Other,0.3550779954613228,False,1.4719111567515146
AMD,Sig 3,0.0012356049846857786,0.0025722875725477934,0.480352584941325,0.6309767034202847,Other,0.8055021745790868,False,0.480352584941325
AMD,Sig 4,-0.0004439918848220259,0.0010778317227959633,-0.4119306153564334,0.6803902801656287,Other,0.8475449856734475,False,0.4119306153564334
AMD,Sig 5,0.0016069489065557718,0.003133050398901105,0.5129023481778007,0.6080196307842509,Other,0.7930690836316315,False,0.5129023481778007
AMD,Sig 6,0.0028316695243120193,0.0016211874317377806,1.7466638766602705,0.08069565990821914,Other,0.24603093759534633,False,1.7466638766602705
AMD,Sig 7,0.0004884671070612967,0.0027284054085612297,0.17903025170987333,0.8579139479972975,Other,0.9495308369860359,False,0.17903025170987333
AMD,Sig 8,-0.0022051078267395496,0.0015992377884685993,-1.378849250961685,0.16794123791604543,Other,0.39645144688377937,False,1.378849250961685
AMD,Sig 9,-0.00044463685480877757,0.0022271310444921255,-0.19964557357700183,0.8417577826671603,Other,0.9484594734277862,False,0.19964557357700183
AMD,Sig 10,0.010592449456453323,0.002325128298252821,4.555640849759922,5.222610570010389e-06,Other,7.52055922081496e-05,True,4.555640849759922
AMD,Sig 11,0.0016121286898851395,0.0013845559442415833,1.1643651501335421,0.24427606438633376,Other,0.5112754835993032,False,1.1643651501335421
AMD,Sig 12,0.0009855576790869236,0.0009420755668543279,1.0461556522241482,0.2954891742841257,Other,0.5777950008542487,False,1.0461556522241482
AMD,Sig 13,0.001175582641735673,0.0014952350175008178,0.7862193086546209,0.43173901596146314,Other,0.6755332274014262,False,0.7862193086546209
AMD,Sig 14,0.0013521971413865685,0.0022174406331032515,0.6098008312827763,0.5419937507860189,Other,0.7504528857037185,False,0.6098008312827763
AMD,Sig 15,0.0009862246224656701,0.0014066932490095496,0.7010943026562965,0.4832441656446864,Other,0.7144472264151421,False,0.7010943026562965
AMD,Sig 16,0.00560523197054863,0.0027000035624951124,2.076009101769019,0.037893109199855335,Other,0.14951311107478224,False,2.076009101769019
AMD,Sig 17,-0.0012129764072597027,0.002715781796723604,-0.4466398621284934,0.6551351092782549,Other,0.8270284860424654,False,0.4466398621284934
AMD,Sig 18,0.003935713320970535,0.00131404388230294,2.9951155923902357,0.002743408550085036,Other,0.020792149011170796,True,2.9951155923902357
AMD,Sig 19,0.0036679990589618683,0.0022308132611215115,1.6442429865769361,0.10012602084226052,Other,0.28110666096690995,False,1.6442429865769361
AMD,Sig 20,0.0,0.0,,,Other,,False,
AD,Sig 0,0.0003362263087183237,0.0018940831068903208,0.17751402116158216,0.8591046528317721,Neurological,0.9495308369860359,False,0.17751402116158216
AD,Sig 1,-0.0003701073583215475,0.002865636022761464,-0.12915365223699776,0.8972360691210386,Neurological,0.9685306893060686,False,0.12915365223699776
AD,Sig 2,-0.007674614433199167,0.003119486151263118,-2.46021750412055,0.013885283689658579,Neurological,0.07573791103450134,False,2.46021750412055
AD,Sig 3,-0.00040107639506459236,0.002357688033953309,-0.1701142769054471,0.8649202658187753,Neurological,0.9495308369860359,False,0.1701142769054471
AD,Sig 4,-0.002594258403405547,0.001123052672483027,-2.3100059925682204,0.020887822358839347,Neurological,0.10161643309705629,False,2.3100059925682204
AD,Sig 5,0.0020289532840251923,0.003562816884368658,0.5694800911399434,0.5690303778023429,Neurological,0.7587071704031239,False,0.5694800911399434
AD,Sig 6,0.0014292473206296563,0.0017801015637814999,0.8029021207045525,0.42203131020324447,Neurological,0.6701493816403595,False,0.8029021207045525
AD,Sig 7,-0.0030525377951562405,0.002369851805269718,-1.288071173213645,0.19772118886929269,Neurological,0.449082826453914,False,1.288071173213645
AD,Sig 8,-0.0014959728578105569,0.001569252461194992,-0.9533028590386071,0.3404366433316963,Neurological,0.6158652844191491,False,0.9533028590386071
AD,Sig 9,-1.2236193470016588e-05,0.0018947330536320806,-0.0064580039106620305,0.9948472942024018,Neurological,0.9962309482972591,False,0.0064580039106620305
AD,Sig 10,-0.0027948752976953983,0.002522631548345089,-1.1079205362070843,0.267896135689492,Neurological,0.5446107984094535,False,1.1079205362070843
AD,Sig 11,0.003360666334629059,0.0015859579434618354,2.1190135264831693,0.034089323828256024,Neurological,0.14025321803625335,False,2.1190135264831693
AD,Sig 12,-0.0005415598279796541,0.0009371942142024636,-0.577852295471662,0.5633638449087508,Neurological,0.7553481719446938,False,0.577852295471662
AD,Sig 13,0.0005681982729583979,0.0017373639857396483,0.32704619044839855,0.7436329494996317,Neurological,0.8941488733632864,False,0.32704619044839855
AD,Sig 14,-0.006329684518277645,0.0024187408853322268,-2.61693369333699,0.008872357430965039,Neurological,0.053681490338612,False,2.61693369333699
AD,Sig 15,-0.003217137884348631,0.0016071866266429424,-2.0017201680358183,0.04531483606816056,Neurological,0.16478122206603837,False,2.0017201680358183
AD,Sig 16,-0.002493169391527772,0.0027329279109835625,-0.9122704559852429,0.36162636273905635,Neurological,0.6319684009032053,False,0.9122704559852429
AD,Sig 17,0.0019290648633614182,0.0020790277048945427,0.9278687623161178,0.35347564989927927,Neurological,0.6268533692795101,False,0.9278687623161178
AD,Sig 18,-0.002394796581938863,0.0013612827751785517,-1.7592205128906822,0.07854006142249759,Neurological,0.2416617274538387,False,1.7592205128906822
AD,Sig 19,-0.003920875955373049,0.002065154490992427,-1.8985872352285083,0.05761876804561372,Neurological,0.19476766663306047,False,1.8985872352285083
AD,Sig 20,0.0,0.0,,,Neurological,,False,
AST,Sig 0,0.008786515332758427,0.002009402262046933,4.37270102592987,1.2271872927627214e-05,Other,0.00016991824053637684,True,4.37270102592987
AST,Sig 1,0.007257633842527866,0.0021942283492535353,3.3076018933931257,0.000940984730679606,Other,0.008262304952308735,True,3.3076018933931257
AST,Sig 2,0.014677206985652447,0.002668895525857806,5.499356135694021,3.8118056044922355e-08,Other,7.037179577524126e-07,True,5.499356135694021
AST,Sig 3,0.0019838865846395493,0.002390732057392597,0.8298238936918905,0.4066383594959724,Other,0.6654082246297729,False,0.8298238936918905
AST,Sig 4,0.021668855100870132,0.0009823722066357732,22.057683385686556,0.0,Other,0.0,True,22.057683385686556
AST,Sig 5,0.003526974469423294,0.003306608647108078,1.066644059165558,0.2861325969023971,Other,0.5706799716612907,False,1.066644059165558
AST,Sig 6,-0.0006755749927833676,0.001900755101814866,-0.3554245321442619,0.7222715730722222,Other,0.8814161569694916,False,0.3554245321442619
AST,Sig 7,0.02722041867673397,0.0025566183030605316,10.647040523862465,0.0,Other,0.0,True,10.647040523862465
AST,Sig 8,-0.0011942745186388493,0.0017312179552391171,-0.6898464257632397,0.4902907696688632,Other,0.7160433147293742,False,0.6898464257632397
AST,Sig 9,0.004992624279111624,0.0020352161955088377,2.4531174084251943,0.014162410519106494,Other,0.07609653413251251,False,2.4531174084251943
AST,Sig 10,-0.00010515777103137225,0.002886529779061675,-0.03643051659960907,0.9709390815958221,Other,0.9873956761991411,False,0.03643051659960907
AST,Sig 11,0.0007959760841913521,0.0013335844269022346,0.596869660543588,0.5505944047256648,Other,0.7539960996784841,False,0.596869660543588
AST,Sig 12,8.023192640393972e-05,0.0006683192332275212,0.12005030293154191,0.9044433000875591,Other,0.9748490659626385,False,0.12005030293154191
AST,Sig 13,-0.0012964922934770584,0.0014163934392854571,-0.9153475704682122,0.3600091931925089,Other,0.6306730391693587,False,0.9153475704682122
AST,Sig 14,0.019053075462579727,0.0021123425103724003,9.019879763353682,0.0,Other,0.0,True,9.019879763353682
AST,Sig 15,0.0012206756509840488,0.002029257360845804,0.6015381166217701,0.5474816321638076,Other,0.7539960996784841,False,0.6015381166217701
AST,Sig 16,0.007409323006868362,0.002864148933440447,2.586919597776713,0.009683818550912049,Other,0.05715040456275963,False,2.586919597776713
AST,Sig 17,0.009686331264674664,0.002965377178043127,3.2664752856386183,0.0010889531262576746,Other,0.009333883939351497,True,3.2664752856386183
AST,Sig 18,0.0021305244881659746,0.0014594725798815489,1.4597906925657271,0.1443476073282297,Other,0.3603604856635361,False,1.4597906925657271
AST,Sig 19,-0.000909940165001899,0.0018362135160714388,-0.49555248179890715,0.6202101855902828,Other,0.8008412084892396,False,0.49555248179890715
AST,Sig 20,0.0,0.0,,,Other,,False,
AF,Sig 0,0.03790101036429405,0.0017158131813630462,22.089240702875006,0.0,Cardiovascular,0.0,True,22.089240702875006
AF,Sig 1,0.0023743619676679373,0.0028113205917179585,0.8445717555880022,0.3983499843019538,Cardiovascular,0.6570629523022857,False,0.8445717555880022
AF,Sig 2,-0.0007423172937706113,0.0029864900279790163,-0.2485584371004727,0.8037023619793935,Cardiovascular,0.9333317752018763,False,0.2485584371004727
AF,Sig 3,0.003089240286499262,0.002312082564458251,1.3361288796462631,0.18150715200460787,Cardiovascular,0.418862658472172,False,1.3361288796462631
AF,Sig 4,-0.0008906677248887718,0.0010985228000208735,-0.8107867445917807,0.41748814798433775,Cardiovascular,0.6701493816403595,False,0.8107867445917807
AF,Sig 5,0.008726798929274082,0.0032735669519752264,2.6658379245942867,0.007679670686322471,Cardiovascular,0.048503183282036656,True,2.6658379245942867
AF,Sig 6,-0.002760940697044134,0.0022942156065255404,-1.2034355834696036,0.22880780491131203,Cardiovascular,0.4949223622342876,False,1.2034355834696036
AF,Sig 7,0.003959499299526215,0.0029231091029942036,1.3545506376995693,0.17556076960035538,Cardiovascular,0.41040179906576585,False,1.3545506376995693
AF,Sig 8,0.0015506409108638763,0.0015390473417937756,1.007532951557285,0.3136787309567537,Cardiovascular,0.5910519669680852,False,1.007532951557285
AF,Sig 9,0.00019259790133219212,0.002046464243903756,0.09411251718955022,0.9250197772361841,Cardiovascular,0.9794327053089008,False,0.09411251718955022
AF,Sig 10,0.0026840525679290295,0.0018400168046355247,1.4587108993608857,0.14464469493994714,Cardiovascular,0.3603604856635361,False,1.4587108993608857
AF,Sig 11,0.004949060268700123,0.0012287312420085073,4.027780933290421,5.630576899307016e-05,Cardiovascular,0.0006434945027779447,True,4.027780933290421
AF,Sig 12,0.0010557540226727724,0.0008797275950200856,1.2000919701156674,0.23010362378654658,Cardiovascular,0.4949223622342876,False,1.2000919701156674
AF,Sig 13,0.0028903763741254807,0.001669529010541737,1.73125256037785,0.08340672856880804,Cardiovascular,0.24820217453241453,False,1.73125256037785
AF,Sig 14,0.002994090784341097,0.001600816030986607,1.8703528240504899,0.061434838535102454,Cardiovascular,0.20290405387740262,False,1.8703528240504899
AF,Sig 15,0.0031123897060751915,0.001949228229932487,1.5967292379009879,0.11032607532996574,Cardiovascular,0.29862697081795236,False,1.5967292379009879
AF,Sig 16,0.004105154890567064,0.0026236928533762693,1.564647662657766,0.11766554659084005,Cardiovascular,0.3149412399457429,False,1.564647662657766
AF,Sig 17,0.002818991895765066,0.002848047763109207,0.9897979704833247,0.32227287702586427,Cardiovascular,0.5983238352943242,False,0.9897979704833247
AF,Sig 18,-0.00015335057105403394,0.0014857735950499773,-0.10321261029603615,0.9177942317954875,Cardiovascular,0.979057507719485,False,0.10321261029603615
AF,Sig 19,-0.0010047524701803923,0.0014534426154568791,-0.691291461730366,0.4893823964212509,Cardiovascular,0.7160433147293742,False,0.691291461730366
AF,Sig 20,0.0,0.0,,,Cardiovascular,,False,
BD,Sig 0,0.00018599274335429072,0.002349475398659706,0.07916352027367178,0.9369025601016814,Neurological,0.9804794233622246,False,0.07916352027367178
BD,Sig 1,0.007434414234012365,0.002515546977519989,2.9553867609905486,0.0031227730956835398,Neurological,0.022483966288921485,True,2.9553867609905486
BD,Sig 2,0.0008929151808843017,0.002787887817248702,0.3202837558096214,0.7487532360942433,Neurological,0.8952946825594623,False,0.3202837558096214
BD,Sig 3,-0.0015382551355287433,0.0026468068826943636,-0.5811739215226951,0.5611232418371976,Neurological,0.7553481719446938,False,0.5811739215226951
BD,Sig 4,-0.0009651471627876163,0.0009188427939079702,-1.0503942232410692,0.29353690049893766,Neurological,0.5774496403257791,False,1.0503942232410692
BD,Sig 5,-0.0018627513200044632,0.0037999427877366543,-0.4902050962493482,0.6239887749478659,Neurological,0.8008412084892396,False,0.4902050962493482
BD,Sig 6,6.74241891829297e-05,0.0016312453662976623,0.041332953690442195,0.9670304622633412,Neurological,0.984811786180489,False,0.041332953690442195
BD,Sig 7,0.007600171957165003,0.002545492025092244,2.9857378778822086,0.0028289501732476907,Neurological,0.02121712629935768,True,2.9857378778822086
BD,Sig 8,0.00022255927615333349,0.0019873231649398804,0.11198947412262779,0.9108317525012917,Neurological,0.9773455466481819,False,0.11198947412262779
BD,Sig 9,0.004012407269328833,0.002158760093152523,1.8586628880420681,0.06307493699476452,Neurological,0.2064270665283202,False,1.8586628880420681
BD,Sig 10,-0.0017553357174620032,0.00281651527620852,-0.6232296101106065,0.5331336462915157,Neurological,0.7439074134300219,False,0.6232296101106065
BD,Sig 11,0.0010118505451828241,0.0015577265294268727,0.6495687953360528,0.5159707950166024,Neurological,0.7297584764165025,False,0.6495687953360528
BD,Sig 12,-0.0001439045008737594,0.0010962617816403508,-0.1312683733792427,0.8955630096541776,Neurological,0.9681762266531649,False,0.1312683733792427
BD,Sig 13,0.0011569202179089189,0.001960612367838621,0.5900810567589694,0.5551363082153662,Neurological,0.7539960996784841,False,0.5900810567589694
BD,Sig 14,0.0020447303541004658,0.002292684745043516,0.891849766314756,0.3724734628656452,Neurological,0.6350816138377511,False,0.891849766314756
BD,Sig 15,-0.0007371784886345267,0.0022156457416713238,-0.3327149619498523,0.73934945441597,Neurological,0.893173837549494,False,0.3327149619498523
BD,Sig 16,0.001576160779222846,0.002396569587290287,0.6576736964291335,0.5107478278401754,Neurological,0.7275650622183455,False,0.6576736964291335
BD,Sig 17,0.007896889001131058,0.0033409930765628815,2.3636352486115153,0.018096619872984165,Neurological,0.08985907798999034,False,2.3636352486115153
