prs,signature,effect,sem,z_score,p_value,category,p_value_fdr,significant_fdr,abs_z_score
AAM,Sig 0,-0.050324708223342896,0.01244332455098629,-4.044313721557156,5.247661223140021e-05,Other,0.0001594226194371652,True,4.044313721557156
AAM,Sig 1,-0.06124606728553772,0.01190963201224804,-5.142565884701674,2.710113540249637e-07,Other,1.1684321850178075e-06,True,5.142565884701674
AAM,Sig 2,-0.057690657675266266,0.012667740695178509,-4.5541394526037315,5.2600455298090765e-06,Other,1.8474306251036757e-05,True,4.5541394526037315
AAM,Sig 3,-0.05462095886468887,0.012026720680296421,-4.541633610413461,5.5819991267025415e-06,Other,1.9509899860319565e-05,True,4.541633610413461
AAM,Sig 4,-0.008510190062224865,0.05408031865954399,-0.15736205468388087,0.8749595168005357,Other,0.8910478813244495,False,0.15736205468388087
AAM,Sig 5,-0.059110384434461594,0.01186603307723999,-4.981478144354754,6.310041198442917e-07,Other,2.5961312359308e-06,True,4.981478144354754
AAM,Sig 6,0.0038897611666470766,0.029319943860173225,0.13266605097190304,0.8944574928832651,Other,0.9083348305725683,False,0.13266605097190304
AAM,Sig 7,-0.05883599445223808,0.011907128617167473,-4.941241196253601,7.762680658274235e-07,Other,3.1399607157064317e-06,True,4.941241196253601
AAM,Sig 8,0.012773978523910046,0.012351961806416512,1.0341659668405312,0.3010585814343316,Other,0.3809528622719135,False,1.0341659668405312
AAM,Sig 9,-0.06654958426952362,0.014210653491318226,-4.683076982362636,2.826003174138947e-06,Other,1.022473510241227e-05,True,4.683076982362636
AAM,Sig 10,-0.06931929290294647,0.012891181744635105,-5.3772644181201565,7.562606851863052e-08,Other,3.424576687636099e-07,True,5.3772644181201565
AAM,Sig 11,-0.06964428722858429,0.04120674729347229,-1.6901185316225358,0.09100528020377086,Other,0.14244304727546744,False,1.6901185316225358
AAM,Sig 12,0.0369022898375988,0.06037410348653793,0.6112271273034668,0.5410492267809057,Other,0.6166949556210615,False,0.6112271273034668
AAM,Sig 13,-0.05326159670948982,0.013540409505367279,-3.933529239893186,8.370765077447828e-05,Other,0.00023916471649850938,True,3.933529239893186
AAM,Sig 14,-0.07335545867681503,0.011956894770264626,-6.134992411176966,8.516325422647242e-10,Other,4.75329791031474e-09,True,6.134992411176966
AAM,Sig 15,-0.0718817338347435,0.014279644936323166,-5.0338600263020385,4.807007261131702e-07,Other,2.0359089576557797e-06,True,5.0338600263020385
AAM,Sig 16,-0.054857246577739716,0.011285136453807354,-4.861017569639763,1.1678388702751619e-06,Other,4.472574396798492e-06,True,4.861017569639763
AAM,Sig 17,-0.050029315054416656,0.012124651111662388,-4.126247806528202,3.687299435117808e-05,Other,0.00011394230014097947,True,4.126247806528202
AAM,Sig 18,-0.05187397450208664,0.011480649933218956,-4.518383088399087,6.231366498576918e-06,Other,2.1570114802766257e-05,True,4.518383088399087
AAM,Sig 19,-0.052899740636348724,0.01220372412353754,-4.3347211147062925,1.459450272767171e-05,Other,4.7547701194224575e-05,True,4.3347211147062925
AAM,Sig 20,0.0,0.0,,,Other,,False,
AMD,Sig 0,0.03952832147479057,0.01548644620925188,2.552446244973598,0.010696941467377208,Other,0.021513401833831255,True,2.552446244973598
